거래일시,종목명,종목코드,거래구분,수량,가격,감정태그,메모,수익률,코스피지수,기술분석,뉴스분석,감정분석
2024-09-12,NAVER,035420,매수,443,150868,#추격매수,친구가 NAVER로 돈 벌었다고 해서 따라 매수,-16.99,2374.16,거래량 감소와 함께 상승 동력 약화,금리 인하 기대감으로 성장주 재평가,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-09-14,카카오,035720,매도,63,438339,#합리적,카카오 밸류에이션 적정 수준에서 매수,7.18,2483.99,피보나치 확장 161.8% 도달로 과열 구간,업계 재편 가속화로 구조 조정 압력 증가,감정적 흥분 상태에서 비합리적 판단
2024-09-15,현대차,005380,매도,262,423358,#불안,마음이 불안해서 현대차 절반만 매도,-20.3,2334.71,이동평균선 상향 돌파로 상승 모멘텀 확인,금리 인하 기대감으로 성장주 재평가,손실 회복을 위한 무모한 도박성 투자
2024-09-17,카카오,035720,매도,139,240482,#추격매수,어제 카카오 상한가 갔는데 오늘이라도 타야겠어서 추격매수,-31.28,2339.39,거래량 감소와 함께 상승 동력 약화,정부 지원 정책 발표로 관련주 테마 부각,감정적 흥분 상태에서 비합리적 판단
2024-09-22,삼성전자,005930,매수,260,475858,#공포,"너무 무서워서 삼성전자 전량 매도, 더 떨어지기 전에",-1.71,2445.37,이동평균선 상향 돌파로 상승 모멘텀 확인,글로벌 트렌드 변화로 성장주 선호도 증가,유행과 트렌드에 휩쓸리기 쉬운 성향
2024-09-22,삼성전자,005930,매도,267,250146,#추격매수,친구가 삼성전자로 돈 벌었다고 해서 따라 매수,-31.22,2294.9,RSI 과매수 구간 진입으로 단기 조정 예상,신기술 도입 지연으로 성장 둔화 우려,체계적 분석을 통한 냉정한 투자 접근
2024-09-24,카카오,035720,매수,147,435794,#추격매수,친구가 카카오로 돈 벌었다고 해서 따라 매수,-13.33,2410.31,쐐기형 패턴 완성으로 급등 후 조정 예상,정부 지원 정책 발표로 관련주 테마 부각,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-09-25,현대차,005380,매도,408,335734,#패닉,패닉장이다... 현대차 지금 당장 다 팔아야 함,-2.03,2409.82,볼린저밴드 상단 이탈로 강한 상승세 지속,대규모 투자 계획 발표로 미래 가치 기대,주변 성공 사례에 자극받아 따라 하는 심리
2024-09-26,셀트리온,068270,매수,344,389286,#공포,"너무 무서워서 셀트리온 전량 매도, 더 떨어지기 전에",-11.29,2309.45,쐐기형 패턴 완성으로 급등 후 조정 예상,해외 수주 확대로 수출 기업 수혜 기대,손실 회복을 위한 무모한 도박성 투자
2024-09-27,SK하이닉스,000660,매도,176,256765,#공포,코스피 폭락하니까 SK하이닉스 급히 손절했음,-2.17,2411.59,이동평균선 상향 돌파로 상승 모멘텀 확인,금리 인하 기대감으로 성장주 재평가,손실 회복을 위한 무모한 도박성 투자
2024-09-28,하이브,352820,매수,101,155787,#공포,"너무 무서워서 하이브 전량 매도, 더 떨어지기 전에",-5.58,2426.41,쐐기형 패턴 완성으로 급등 후 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,시장 상황 변화에 대한 과도한 낙관론
2024-09-30,NAVER,035420,매수,256,317330,#욕심,이번엔 확실하다 싶어서 NAVER 올인,7.64,2247.75,쐐기형 패턴 완성으로 급등 후 조정 예상,어닝 서프라이즈 발표로 시장 기대감 급상승,주변 성공 사례에 자극받아 따라 하는 심리
2024-10-01,셀트리온,068270,매수,22,280367,#욕심,셀트리온 이미 올랐지만 더 오를 것 같아서 추가 매수,11.24,2379.3,이동평균선 상향 돌파로 상승 모멘텀 확인,정부 지원 정책 발표로 관련주 테마 부각,체계적 분석을 통한 냉정한 투자 접근
2024-10-15,LG에너지솔루션,373220,매도,202,144366,#추격매수,모두가 LG에너지솔루션 산다고 해서 뒤늦게 합류,-20.62,2242.8,피보나치 확장 161.8% 도달로 과열 구간,대규모 투자 계획 발표로 미래 가치 기대,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
2024-10-17,카카오,035720,매수,307,355277,#확신,카카오 기술적 분석상 매수 타이밍으로 판단,-5.62,2428.1,일목균형표 구름대 상단 저항 직면,금리 인하 기대감으로 성장주 재평가,시장 상황 변화에 대한 과도한 낙관론
2024-10-21,LG에너지솔루션,373220,매수,248,491748,#추격매수,친구가 LG에너지솔루션로 돈 벌었다고 해서 따라 매수,-40.81,2482.68,쐐기형 패턴 완성으로 급등 후 조정 예상,친환경 정책 강화로 관련 산업 수혜 예상,확실한 수익을 보장받을 수 있다는 착각
2024-10-21,카카오,035720,매수,107,331099,#합리적,카카오 밸류에이션 적정 수준에서 매수,1.52,2565.63,저항선 돌파 실패로 반락 가능성 증가,업계 재편 가속화로 구조 조정 압력 증가,전문가 의견에만 의존하는 수동적 태도
2024-10-22,SK하이닉스,000660,매도,312,460894,#합리적,분할 매수 전략으로 SK하이닉스 추가 매수,14.57,2377.84,스토캐스틱 과매수에서 베어리시 다이버전스,신기술 도입 지연으로 성장 둔화 우려,확실한 수익을 보장받을 수 있다는 착각
2024-10-25,SK하이닉스,000660,매수,218,452716,#확신,SK하이닉스 기술적 분석상 매수 타이밍으로 판단,10.51,2468.7,저항선 돌파 실패로 반락 가능성 증가,해외 수주 확대로 수출 기업 수혜 기대,급등 상황에서 놓칠까 봐 하는 조급한 투자 심리
